Date,TLT,IEI
2012-11-14,106.81724548339844,113.32054901123047
2012-11-15,106.60651397705078,113.3480453491211
2012-11-16,106.5138168334961,113.39380645751953
2012-11-19,105.91535949707031,113.2930908203125
2012-11-20,104.85334014892578,113.12828063964844
2012-11-21,104.79434967041016,113.04586029052734
2012-11-23,104.6932144165039,113.01836395263672
2012-11-26,105.19051361083984,113.10079956054688
2012-11-27,105.60353088378906,113.21063995361328
2012-11-28,105.45182800292969,113.2930908203125
2012-11-29,105.46867370605469,113.32971954345703
2012-11-30,105.18206787109375,113.40296173095703
2012-12-03,105.2791976928711,113.3736572265625
2012-12-04,105.88726043701172,113.41032409667969
2012-12-05,105.83658599853516,113.48361206054688
2012-12-06,106.06462860107422,113.50189208984375
2012-12-07,105.0849609375,113.41032409667969
2012-12-10,105.54947662353516,113.44696044921875
2012-12-11,104.74714660644531,113.36449432373047
2012-12-12,103.53101348876953,113.23622131347656
2012-12-13,103.60700988769531,113.07134246826172
2012-12-14,104.38398742675781,113.13546752929688
2012-12-17,102.82161712646484,112.88811492919922
2012-12-18,101.7744140625,112.68660736083984
2012-12-19,102.11219787597656,112.787353515625
2012-12-20,102.12909698486328,112.75984191894531
2012-12-21,103.24385833740234,112.90641021728516
2012-12-24,103.05806732177734,112.860595703125
2012-12-26,103.42878723144531,112.91834259033203
2012-12-27,103.77584075927734,113.04672241210938
2012-12-28,104.3682861328125,113.13834381103516
2012-12-31,102.56546783447266,112.94588470458984
2013-01-02,101.19432067871094,112.87255096435547
2013-01-03,99.82318115234375,112.61588287353516
2013-01-04,100.2125244140625,112.61588287353516
2013-01-07,100.25484466552734,112.65254974365234
2013-01-08,100.91503143310547,112.7808609008789
2013-01-09,100.8218994140625,112.8633804321289
2013-01-10,100.54261779785156,112.72589111328125
2013-01-11,101.43978118896484,112.87255096435547
2013-01-14,101.1604995727539,112.87255096435547
2013-01-15,101.62598419189453,112.95502471923828
2013-01-16,101.83760070800781,113.02838897705078
2013-01-17,100.8218994140625,112.79922485351562
2013-01-18,101.60059356689453,112.91834259033203
2013-01-22,101.79530334472656,112.9825210571289
2013-01-23,101.64292907714844,113.01006317138672
2013-01-24,101.2874526977539,112.90921783447266
2013-01-25,99.89935302734375,112.55169677734375
2013-01-28,99.5354232788086,112.46007537841797
2013-01-29,98.98527526855469,112.42337799072266
2013-01-30,98.81600189208984,112.49671936035156
2013-01-31,99.29845428466797,112.50589752197266
2013-02-01,98.00904083251953,112.40130615234375
2013-02-04,99.26448059082031,112.70394897460938
2013-02-05,98.38227844238281,112.54811096191406
2013-02-06,99.18815612792969,112.69483184814453
2013-02-07,98.96759796142578,112.73151397705078
2013-02-08,99.34931182861328,112.74064636230469
2013-02-11,99.27296447753906,112.68565368652344
2013-02-12,99.02696990966797,112.60310363769531
2013-02-13,98.22112274169922,112.4196548461914
2013-02-14,99.11180114746094,112.64894104003906
2013-02-15,98.82341766357422,112.58475494384766
2013-02-19,98.3313980102539,112.51136016845703
2013-02-20,98.6282730102539,112.62146759033203
2013-02-21,99.20514678955078,112.74064636230469
2013-02-22,99.27296447753906,112.79566955566406
2013-02-25,101.2240219116211,113.15336608886719
2013-02-26,100.63870239257812,113.11666870117188
2013-02-27,100.341796875,113.1258316040039
2013-02-28,100.52837371826172,113.19007110595703
2013-03-01,101.07585906982422,113.27906036376953
2013-03-04,100.54032135009766,113.22398376464844
2013-03-05,100.25127410888672,113.14144134521484
2013-03-06,99.34168243408203,112.98545837402344
2013-03-07,98.57659912109375,112.76522064208984
2013-03-08,97.54801177978516,112.55420684814453
2013-03-11,97.64151000976562,112.57256317138672
2013-03-12,98.34709930419922,112.69181823730469
2013-03-13,98.2450942993164,112.65512084960938
2013-03-14,97.947509765625,112.68264770507812
2013-03-15,98.40656280517578,112.89369201660156
2013-03-18,99.1546859741211,113.03131103515625
2013-03-19,99.8262710571289,113.15979766845703
2013-03-20,98.71260070800781,113.02214813232422
2013-03-21,99.66473388671875,113.09555053710938
2013-03-22,99.74127197265625,113.09555053710938
2013-03-25,99.64771270751953,113.12309265136719
2013-03-26,99.76673889160156,113.20564270019531
2013-03-27,100.61683654785156,113.38915252685547
2013-03-28,100.10675811767578,113.3065414428711
2013-04-01,100.86071014404297,113.38550567626953
2013-04-02,100.45177459716797,113.3304443359375
2013-04-03,101.3548583984375,113.55994415283203
2013-04-04,102.56460571289062,113.71601867675781
2013-04-05,104.63479614257812,113.76191711425781
2013-04-08,103.83397674560547,113.64259338378906
2013-04-09,103.57839965820312,113.70684814453125
2013-04-10,102.15567779541016,113.49569702148438
2013-04-11,102.35164642333984,113.55994415283203
2013-04-12,103.87660217285156,113.75273895263672
2013-04-15,104.7796630859375,113.826171875
2013-04-16,103.91919708251953,113.71601867675781
2013-04-17,104.60924530029297,113.7710952758789
2013-04-18,104.86480712890625,113.75273895263672
2013-04-19,104.6433334350586,113.70684814453125
2013-04-22,104.72000122070312,113.7802734375
2013-04-23,104.35366821289062,113.75273895263672
2013-04-24,104.6177749633789,113.7710952758789
2013-04-25,104.16621398925781,113.75273895263672
2013-04-26,105.12040710449219,113.89959716796875
2013-04-29,104.73705291748047,113.94554901123047
2013-04-30,104.79666900634766,113.94554901123047
2013-05-01,105.8732681274414,114.06675720214844
2013-05-02,105.7366714477539,114.10347747802734
2013-05-03,103.24371337890625,113.6901626586914
2013-05-06,102.98758697509766,113.65345764160156
2013-05-07,102.58634185791016,113.61669158935547
2013-05-08,102.74856567382812,113.64425659179688
2013-05-09,102.48389434814453,113.62590026855469
2013-05-10,101.38252258300781,113.35032653808594
2013-05-13,100.60564422607422,113.2676773071289
2013-05-14,99.51280975341797,113.12991333007812
2013-05-15,100.17876434326172,113.23095703125
2013-05-16,101.2203369140625,113.4605712890625
2013-05-17,99.93970489501953,113.24928283691406
2013-05-20,99.8201904296875,113.22177124023438
2013-05-21,100.60564422607422,113.32276153564453
2013-05-22,99.11153411865234,112.94619750976562
2013-05-23,99.58116912841797,112.98297119140625
2013-05-24,99.71773529052734,112.98297119140625
2013-05-28,97.19062042236328,112.404296875
2013-05-29,98.28341674804688,112.53285217285156
2013-05-30,98.04440307617188,112.53285217285156
2013-05-31,97.71143341064453,112.41348266601562
2013-06-03,98.22916412353516,112.44840240478516
2013-06-04,97.32202911376953,112.32893371582031
2013-06-05,98.6656723022461,112.49437713623047
2013-06-06,98.60575103759766,112.53113555908203
2013-06-07,96.84278869628906,112.18192291259766
2013-06-10,96.38065338134766,112.04411315917969
2013-06-11,97.52739715576172,112.12679290771484
2013-06-12,96.13246154785156,111.91545104980469
2013-06-13,97.63865661621094,112.3013916015625
2013-06-14,97.4076156616211,112.44840240478516
2013-06-17,96.89411926269531,112.42082977294922
2013-06-18,96.94550323486328,112.36566925048828
2013-06-19,95.94419860839844,111.44678497314453
2013-06-20,94.36952209472656,111.2813949584961
2013-06-21,92.76913452148438,110.63811492919922
2013-06-24,93.15425872802734,110.47270202636719
2013-06-25,92.32413482666016,110.46354675292969
2013-06-26,92.9232177734375,110.6841049194336
2013-06-27,93.87311553955078,111.00572967529297
2013-06-28,94.51500701904297,110.95053100585938
2013-07-01,94.7054443359375,111.0443344116211
2013-07-02,94.64537048339844,111.0627212524414
2013-07-03,94.36229705810547,110.92481994628906
2013-07-05,91.14572143554688,110.04220581054688
2013-07-08,92.02921295166016,110.47431182861328
2013-07-09,92.1235580444336,110.54788970947266
2013-07-10,91.40303802490234,110.40077209472656
2013-07-11,92.47525024414062,111.0075454711914
2013-07-12,92.39804077148438,110.92481994628906
2013-07-15,92.88697052001953,111.09033966064453
2013-07-16,93.20435333251953,111.11791229248047
2013-07-17,93.37589263916016,111.41207885742188
2013-07-18,92.20934295654297,111.23743438720703
2013-07-19,93.66751861572266,111.45806884765625
2013-07-22,93.80477905273438,111.48566436767578
2013-07-23,93.41021728515625,111.42131805419922
2013-07-24,92.22650146484375,111.11791229248047
2013-07-25,92.19217681884766,111.23743438720703
2013-07-26,92.75829315185547,111.29259490966797
2013-07-29,92.08067321777344,111.25579071044922
2013-07-30,92.04635620117188,111.21903991699219
2013-07-31,92.3808822631836,111.22820281982422
2013-08-01,90.60089111328125,110.7470474243164
2013-08-02,91.59832763671875,111.33586120605469
2013-08-05,90.89324188232422,111.20706939697266
2013-08-06,91.15977478027344,111.18867492675781
2013-08-07,91.8391342163086,111.29905700683594
2013-08-08,92.0885238647461,111.34507751464844
2013-08-09,92.23469543457031,111.40947723388672
2013-08-12,91.60697937011719,111.32669830322266
2013-08-13,90.2826919555664,110.86666870117188
2013-08-14,90.42028045654297,110.88501739501953
2013-08-15,89.19918060302734,110.655029296875
2013-08-16,88.8896484375,110.4526138305664
2013-08-19,88.11570739746094,110.28702545166016
2013-08-20,88.7950210571289,110.5538330078125
